1
7*x1-log(x1)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
Tempo derivadas | 7.29003906250000e-01	| 7.29003906250000e-01	| 7.29003906250000e-01
Tempo SL 	| 1.95312500000000e-03	| 9.76562500000000e-04	| 9.76562500000000e-04
#

10
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -3.90000000000000e+02	| -3.90000000000000e+02	| -3.90000000000000e+02
1 		| -3.91658364100711e+02	| -3.91658364100711e+02	| -3.91658364100711e+02
2 		| -3.91661657021954e+02	| -3.91661631617912e+02	| -3.91661657021954e+02
3 		| -3.91661657037714e+02	| -3.91661656833009e+02	| -3.91661657037714e+02
4 		| 			| -3.91661657036060e+02	| 
5 		| 			| -3.91661657037701e+02	| 
6 		| 			| -3.91661657037714e+02	| 
7 		| 			| -3.91661657037714e+02	| 
Tempo total 	| 2.86206054687500e+00	| 9.73876953125000e-01	| 3.33007812500000e+00
Tempo derivadas | 8.27587890625000e+00	| 8.27587890625000e+00	| 8.27587890625000e+00
Tempo SL 	| 1.07421875000000e-02	| 8.30078125000000e-03	| 6.10351562500000e-03
#

20
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+x11^4-16*x11^2+5*x11+x12^4-16*x12^2+5*x12+x13^4-16*x13^2+5*x13+x14^4-16*x14^2+5*x14+x15^4-16*x15^2+5*x15+x16^4-16*x16^2+5*x16+x17^4-16*x17^2+5*x17+x18^4-16*x18^2+5*x18+x19^4-16*x19^2+5*x19+x20^4-16*x20^2+5*x20+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -7.80000000000000e+02	| -7.80000000000000e+02	| -7.80000000000000e+02
1 		| -7.83316728201422e+02	| -7.83316728201422e+02	| -7.83316728201422e+02
2 		| -7.83323314043909e+02	| -7.83323263235824e+02	| -7.83323314043909e+02
3 		| -7.83323314075428e+02	| -7.83323313666017e+02	| -7.83323314075428e+02
4 		| 			| -7.83323314072119e+02	| 
5 		| 			| -7.83323314075401e+02	| 
6 		| 			| -7.83323314075428e+02	| 
7 		| 			| -7.83323314075428e+02	| 
Tempo total 	| 2.74460449218750e+01	| 9.41186523437500e+00	| 2.54580078125000e+01
Tempo derivadas | 4.87641601562500e+01	| 4.87641601562500e+01	| 4.87641601562500e+01
Tempo SL 	| 6.95800781250000e-02	| 2.85644531250000e-02	| 1.41601562500000e-02
#

32
0.5*(x1^4-16*x1^2+5*x1+x2^4-16*x2^2+5*x2+x3^4-16*x3^2+5*x3+x4^4-16*x4^2+5*x4+x5^4-16*x5^2+5*x5+x6^4-16*x6^2+5*x6+x7^4-16*x7^2+5*x7+x8^4-16*x8^2+5*x8+x9^4-16*x9^2+5*x9+x10^4-16*x10^2+5*x10+x11^4-16*x11^2+5*x11+x12^4-16*x12^2+5*x12+x13^4-16*x13^2+5*x13+x14^4-16*x14^2+5*x14+x15^4-16*x15^2+5*x15+x16^4-16*x16^2+5*x16+x17^4-16*x17^2+5*x17+x18^4-16*x18^2+5*x18+x19^4-16*x19^2+5*x19+x20^4-16*x20^2+5*x20+x21^4-16*x21^2+5*x21+x22^4-16*x22^2+5*x22+x23^4-16*x23^2+5*x23+x24^4-16*x24^2+5*x24+x25^4-16*x25^2+5*x25+x26^4-16*x26^2+5*x26+x27^4-16*x27^2+5*x27+x28^4-16*x28^2+5*x28+x29^4-16*x29^2+5*x29+x30^4-16*x30^2+5*x30+x31^4-16*x31^2+5*x31+x32^4-16*x32^2+5*x32+0)
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| -1.24800000000000e+03	| -1.24800000000000e+03	| -1.24800000000000e+03
1 		| -1.25330676512228e+03	| -1.25330676512228e+03	| -1.25330676512228e+03
2 		| -1.25331730247025e+03	| -1.25331722117732e+03	| -1.25331730247025e+03
3 		| -1.25331730252069e+03	| -1.25331730186563e+03	| -1.25331730252069e+03
4 		| 			| -1.25331730251539e+03	| 
5 		| 			| -1.25331730252064e+03	| 
6 		| 			| -1.25331730252069e+03	| 
7 		| 			| -1.25331730252069e+03	| 
Tempo total 	| 1.16812988281250e+02	| 4.08630371093750e+01	| 1.19872070312500e+02
Tempo derivadas | 1.95645996093750e+02	| 1.95645996093750e+02	| 1.95645996093750e+02
Tempo SL 	| 1.73828125000000e-01	| 8.91113281250000e-02	| 4.61425781250000e-02
#

2
x1^2+x2^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 8.00000000000000e+00	| 8.00000000000000e+00	| 8.00000000000000e+00
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00
Tempo total 	| 3.90625000000000e-03	| 1.95312500000000e-03	| 9.76562500000000e-04
Tempo derivadas | 7.08007812500000e-03	| 7.08007812500000e-03	| 7.08007812500000e-03
Tempo SL 	| 0.00000000000000e+00	| 9.76562500000000e-04	| 9.76562500000000e-04
#

10
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.00000000000000e+03	| 1.00000000000000e+03	| 1.00000000000000e+03
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00
Tempo total 	| 3.58886718750000e-02	| 3.51562500000000e-02	| 3.39355468750000e-02
Tempo derivadas | 3.02001953125000e-01	| 3.02001953125000e-01	| 3.02001953125000e-01
Tempo SL 	| 2.92968750000000e-03	| 2.92968750000000e-03	| 9.76562500000000e-04
#

50
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+x11^2+x12^2+x13^2+x14^2+x15^2+x16^2+x17^2+x18^2+x19^2+x20^2+x21^2+x22^2+x23^2+x24^2+x25^2+x26^2+x27^2+x28^2+x29^2+x30^2+x31^2+x32^2+x33^2+x34^2+x35^2+x36^2+x37^2+x38^2+x39^2+x40^2+x41^2+x42^2+x43^2+x44^2+x45^2+x46^2+x47^2+x48^2+x49^2+x50^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.25000000000000e+05	| 1.25000000000000e+05	| 1.25000000000000e+05
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00
Tempo total 	| 7.34301757812500e+00	| 7.18579101562500e+00	| 6.73291015625000e+00
Tempo derivadas | 3.78330078125000e+01	| 3.78330078125000e+01	| 3.78330078125000e+01
Tempo SL 	| 2.08007812500000e-01	| 2.11181640625000e-01	| 1.90429687500000e-02
#

100
x1^2+x2^2+x3^2+x4^2+x5^2+x6^2+x7^2+x8^2+x9^2+x10^2+x11^2+x12^2+x13^2+x14^2+x15^2+x16^2+x17^2+x18^2+x19^2+x20^2+x21^2+x22^2+x23^2+x24^2+x25^2+x26^2+x27^2+x28^2+x29^2+x30^2+x31^2+x32^2+x33^2+x34^2+x35^2+x36^2+x37^2+x38^2+x39^2+x40^2+x41^2+x42^2+x43^2+x44^2+x45^2+x46^2+x47^2+x48^2+x49^2+x50^2+x51^2+x52^2+x53^2+x54^2+x55^2+x56^2+x57^2+x58^2+x59^2+x60^2+x61^2+x62^2+x63^2+x64^2+x65^2+x66^2+x67^2+x68^2+x69^2+x70^2+x71^2+x72^2+x73^2+x74^2+x75^2+x76^2+x77^2+x78^2+x79^2+x80^2+x81^2+x82^2+x83^2+x84^2+x85^2+x86^2+x87^2+x88^2+x89^2+x90^2+x91^2+x92^2+x93^2+x94^2+x95^2+x96^2+x97^2+x98^2+x99^2+x100^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.00000000000000e+06	| 1.00000000000000e+06	| 1.00000000000000e+06
1 		| 0.00000000000000e+00	| 0.00000000000000e+00	| 0.00000000000000e+00
Tempo total 	| 5.32341308593750e+01	| 5.38869628906250e+01	| 5.09580078125000e+01
Tempo derivadas | 3.14228027343750e+02	| 3.14228027343750e+02	| 3.14228027343750e+02
Tempo SL 	| 1.84106445312500e+00	| 1.85302734375000e+00	| 6.90917968750000e-02
#

2
100*(x2-x1^2)^2+(1-x1)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.03010000000000e-02	| 1.03010000000000e-02	| 1.03010000000000e-02
1 		| 4.47512876972346e-05	| 4.47512876972346e-05	| 3.05189499587876e-05
2 		| 1.98628259133642e-07	| 2.00757453596184e-05	| 2.37247994735499e-05
3 		| 1.67056063375693e-14	| 3.98323923648905e-08	| 1.85257094705796e-05
4 		| 2.73932442376062e-26	| 3.14318682120503e-10	| 1.44620942913124e-05
5 		| 			| 9.87969115678114e-18	| 1.12871385005579e-05
6 		| 			| 1.24200040785414e-24	| 8.80733929215239e-06
7 		| 			| 			| 6.87106977076418e-06
8 		| 			| 			| 5.35959666509314e-06
9 		| 			| 			| 4.17999994876512e-06
10 		| 			| 			| 3.25959932264943e-06
11 		| 			| 			| 2.54157219834901e-06
12 		| 			| 			| 1.98151216358993e-06
13 		| 			| 			| 1.54472864296616e-06
14 		| 			| 			| 1.20412989839222e-06
15 		| 			| 			| 9.38564580505357e-07
16 		| 			| 			| 7.31523355072206e-07
17 		| 			| 			| 5.70123012361160e-07
18 		| 			| 			| 4.44312005068015e-07
19 		| 			| 			| 3.46249430256188e-07
20 		| 			| 			| 2.69819782209788e-07
Tempo total 	| 1.61132812500000e-02	| 1.19628906250000e-02	| 8.59375000000000e-02
Tempo derivadas | 2.68554687500000e-02	| 2.68554687500000e-02	| 2.68554687500000e-02
Tempo SL 	| 2.92968750000000e-03	| 1.95312500000000e-03	| 3.56445312500000e-02
#

4
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 3.09030000000000e-02	| 3.09030000000000e-02	| 3.09030000000000e-02
1 		| 1.06307897367424e-04	| 1.06307897367424e-04	| 7.36276407264713e-05
2 		| 6.52351840213083e-07	| 4.69199144576480e-05	| 5.47959809913159e-05
3 		| 3.47092973317749e-13	| 2.11081345394642e-05	| 4.28030816810350e-05
4 		| 7.46474097302232e-24	| 9.52945630969772e-06	| 3.34248592220167e-05
5 		| 			| 5.57124281233497e-09	| 2.60942342903255e-05
6 		| 			| 1.29697727141898e-11	| 2.03663699645181e-05
7 		| 			| 3.03390267109241e-14	| 1.58923804228970e-05
8 		| 			| 7.10533652016809e-17	| 1.23988473930535e-05
9 		| 			| 			| 9.67164356470462e-06
10 		| 			| 			| 7.54317769140431e-06
11 		| 			| 			| 5.88235182512412e-06
12 		| 			| 			| 4.58666384684749e-06
13 		| 			| 			| 3.57600385616011e-06
14 		| 			| 			| 2.78778585092223e-06
15 		| 			| 			| 2.17313055837432e-06
16 		| 			| 			| 1.69387472082732e-06
17 		| 			| 			| 1.32022946508370e-06
18 		| 			| 			| 1.02894796359304e-06
19 		| 			| 			| 8.01892365120457e-07
20 		| 			| 			| 6.24913508128749e-07
Tempo total 	| 1.07910156250000e-01	| 7.20214843750000e-02	| 6.14013671875000e-01
Tempo derivadas | 2.49023437500000e-01	| 2.49023437500000e-01	| 2.49023437500000e-01
Tempo SL 	| 0.00000000000000e+00	| 2.19726562500000e-03	| 9.83886718750000e-02
#

10
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 9.27090000000000e-02	| 9.27090000000000e-02	| 9.27090000000000e-02
1 		| 1.72793152576069e-04	| 1.72793152576069e-04	| 1.31764571773459e-04
2 		| 1.00128041094532e-06	| 6.03252210645260e-05	| 6.93182031612399e-05
3 		| 1.39877013701217e-12	| 2.70810088805883e-05	| 5.41611537181176e-05
4 		| 1.17560458081406e-22	| 1.22158642031249e-05	| 4.23044930838018e-05
5 		| 			| 5.52714464260698e-06	| 3.30334257270149e-05
6 		| 			| 2.50655699447507e-06	| 2.57872047672398e-05
7 		| 			| 1.13861767150646e-06	| 2.01257371420284e-05
8 		| 			| 5.17830874941617e-07	| 1.57039187872997e-05
9 		| 			| 2.35695589563567e-07	| 1.22513377526092e-05
10 		| 			| 1.07339070792641e-07	| 9.55625069452975e-06
11 		| 			| 6.95239884358924e-13	| 7.45295273014260e-06
12 		| 			| 1.81218643671960e-17	| 5.81183571732972e-06
13 		| 			| 			| 4.53157220691940e-06
14 		| 			| 			| 3.53297715187127e-06
15 		| 			| 			| 2.75419179115477e-06
16 		| 			| 			| 2.14690806746271e-06
17 		| 			| 			| 1.67341094848886e-06
18 		| 			| 			| 1.30426297534919e-06
19 		| 			| 			| 1.01649262546998e-06
20 		| 			| 			| 7.92177583610910e-07
Tempo total 	| 1.86010742187500e+00	| 1.17993164062500e+00	| 9.44799804687500e+00
Tempo derivadas | 3.33691406250000e+00	| 3.33691406250000e+00	| 3.33691406250000e+00
Tempo SL 	| 1.00097656250000e-02	| 1.51367187500000e-02	| 4.25781250000000e-01
#

20
100*(x2-x1^2)^2+(1-x1)^2+100*(x3-x2^2)^2+(1-x2)^2+100*(x4-x3^2)^2+(1-x3)^2+100*(x5-x4^2)^2+(1-x4)^2+100*(x6-x5^2)^2+(1-x5)^2+100*(x7-x6^2)^2+(1-x6)^2+100*(x8-x7^2)^2+(1-x7)^2+100*(x9-x8^2)^2+(1-x8)^2+100*(x10-x9^2)^2+(1-x9)^2+100*(x11-x10^2)^2+(1-x10)^2+100*(x12-x11^2)^2+(1-x11)^2+100*(x13-x12^2)^2+(1-x12)^2+100*(x14-x13^2)^2+(1-x13)^2+100*(x15-x14^2)^2+(1-x14)^2+100*(x16-x15^2)^2+(1-x15)^2+100*(x17-x16^2)^2+(1-x16)^2+100*(x18-x17^2)^2+(1-x17)^2+100*(x19-x18^2)^2+(1-x18)^2+100*(x20-x19^2)^2+(1-x19)^2+0
#Iteração 	| Newton Padrão 	| Newton Modificado 	| Newton Inexato
0 		| 1.95719000000000e-01	| 1.95719000000000e-01	| 1.95719000000000e-01
1 		| 2.54430653407336e-04	| 2.54430653407336e-04	| 2.13278896847042e-04
2 		| 1.00772715787785e-06	| 6.08177948052424e-05	| 6.95511783814772e-05
3 		| 1.43378366974566e-12	| 2.71912703970222e-05	| 5.43433686426434e-05
4 		| 1.23468770177540e-22	| 1.22650497129920e-05	| 4.24470036520781e-05
5 		| 			| 5.54932334457551e-06	| 3.31448330623596e-05
6 		| 			| 2.51659011467456e-06	| 2.58742623155691e-05
7 		| 			| 1.14316722221908e-06	| 2.01937427742784e-05
8 		| 			| 5.19897406070927e-07	| 1.57570251795250e-05
9 		| 			| 2.36635388716882e-07	| 1.22927976157919e-05
10 		| 			| 1.07766818471303e-07	| 9.58861020906566e-06
11 		| 			| 4.90971873317726e-08	| 7.47820390212368e-06
12 		| 			| 2.23738760339233e-08	| 5.83153622556534e-06
13 		| 			| 1.01977079766375e-08	| 4.54693957026065e-06
14 		| 			| 4.64853280958376e-09	| 3.54496264506386e-06
15 		| 			| 2.11916324089656e-09	| 2.76353841307984e-06
16 		| 			| 9.66132554453974e-10	| 2.15419596703465e-06
17 		| 			| 4.40478892969010e-10	| 1.67909299738334e-06
18 		| 			| 2.00828042841923e-10	| 1.30869260783534e-06
19 		| 			| 9.15653058627207e-11	| 1.01994561463527e-06
20 		| 			| 4.17486564534764e-11	| 7.94869066584616e-07
Tempo total 	| 2.11279296875000e+01	| 7.40893554687500e+00	| 1.11901855468750e+02
Tempo derivadas | 2.98369140625000e+01	| 2.98369140625000e+01	| 2.98369140625000e+01
Tempo SL 	| 6.51855468750000e-02	| 5.59082031250000e-02	| 1.50585937500000e+00
#

32
